17041	18547.9	1518.4818451	102.52	1510.2	699.75	114333	1.8	22.01
17465	20250.4	1785.5853516	119.39	1700.6	812.96	115823	1.8	22.79
17861	23134.2	2780.0973221	151.34	2026.6	938.29	117171	3.15	23.43
18262	26364.7	5128.9642518	204.45	2577.4	1051.5	118517	3.15	24.58
18653	29813.4	6080.4475692	261.53	3496.2	1357.1	119850	3.15	25.72
19040	33070.5	9803.7213798	352.69	4283	1702.4	121121	1.98	26.86
19922	36380.4	11147.325102	430.29	4838.9	2024.2	122389	1.71	27.89
20781	39762.7	12768.22961	529.21	5160.3	2208.2	123626	1.44	28.29
21616	42877.4	12480.398405	615.56	5425.1	2336.7	124761	1.44	28.42
22412	46144.6	11886.323235	711.65	5854.02	2475.2	125786	0.99	28.32
23151	50035.2	13285.077518	823.37	6280	2694.7	126743	0.99	28.44
23940	107449.7	12605.058608	951.36	6859.6	2945.7	127627	0.99	28.61
24780	117208.3	14312.036106	1164.56	7702.8	3184.9	128453	0.72	28.72
25639	128958.9	16326.551842	1671.14	8472.2	3558	129227	0.72	29.32
26476	141964.5	19720.321687	2024.82	9421.6	4163	129988	0.72	30.72
27331	156775.3	22410.200517	2209.199	10493	5153	130756	0.72	31.96
28310	204556.1	25880.181958	2270.2368	11759.5	5828	131448	0.72	33.35
